0,0,0,0
1,0,0,0
2,0,8,0
3,0,28,0
4,0,67,0
5,0,105,1
6,0,183,1
7,0,1,1
8,0,69,2
9,0,166,0
10,0,64,1
11,0,129,1
12,0,53,1
13,0,162,0
14,0,104,0
15,0,55,0
16,0,191,0
17,0,103,0
18,0,239,0
19,0,90,0
20,0,126,0
21,0,98,0
22,0,193,0
23,0,43,0
24,0,51,0
25,0,241,0
26,0,118,0
27,0,219,0
28,0,5,0
29,0,222,0
30,0,26,0
31,0,53,0
32,0,167,0
33,0,33,0
34,0,6,0
35,0,164,0
36,0,108,0
37,0,3,0
38,0,19,0
39,0,54,2
40,0,240,0
41,0,232,2
42,0,161,7
43,0,199,9
44,0,247,16
45,0,1,38
46,0,193,62
47,0,242,67
48,0,231,118
49,0,12,196
50,0,206,72
51,0,238,125
52,0,5,243
53,0,0,140
54,1,51,75
55,0,100,67
56,0,110,102
57,5,216,78
58,3,207,67
59,8,231,7
60,9,149,246
61,6,39,39
62,15,199,55
63,25,17,244
64,28,63,122
65,32,90,87
66,45,17,66
67,74,46,53
68,79,8,146
69,117,10,126
70,132,223,83
71,160,79,54
72,201,158,209
73,222,136,21
74,29,240,44
75,68,204,238
76,132,11,118
77,200,164,130
78,245,181,20
79,63,215,113
80,175,197,237
81,248,174,242
82,63,96,97
83,182,216,224
84,252,134,87
85,172,197,127
86,238,252,99
87,58,77,134
88,127,199,73
89,200,53,198
90,189,203,167
91,2,55,203
92,27,230,201
93,50,41,157
94,91,192,119
95,15,206,100
96,69,49,212
97,14,18,66
98,242,151,204
99,250,112,204
100,200,18,114
101,113,27,156
102,33,235,77
103,207,124,84
104,208,80,80
105,233,78,67
106,255,179,46
107,136,245,247
108,130,92,64
109,20,242,17
110,227,84,30
111,203,28,255
112,228,178,243
113,199,98,230
114,136,122,117
115,121,144,105
116,106,109,65
117,124,56,115
118,106,38,90
119,59,117,112
120,79,111,63
121,31,96,163
122,77,56,14
123,31,210,253
124,61,11,3
125,41,1,81
126,63,125,143
127,110,206,4
128,95,216,92
129,101,153,176
130,137,228,31
131,116,188,31
132,208,239,225
133,128,184,130
134,195,239,194
135,182,9,97
136,200,246,42
137,188,159,224
138,178,253,183
139,223,166,125
140,232,46,85
141,252,180,105
142,36,80,83
143,241,22,79
144,49,189,61
145,240,183,5
146,216,6,53
147,60,33,97
148,242,14,252
149,55,1,2
150,3,6,61
151,61,139,39
152,237,187,99
153,110,145,68
154,95,133,108
155,141,42,120
156,95,66,134
157,133,62,130
158,120,34,160
159,220,16,132
160,195,196,125
161,135,133,126
162,198,110,124
163,178,76,103
164,163,30,181
165,227,250,50
166,202,11,67
167,17,236,94
168,124,224,35
169,160,231,37
170,3,159,51
171,142,207,236
172,235,3,204
173,69,224,208
174,104,224,196
175,189,249,157
176,27,25,172
177,192,61,96
178,146,59,150
179,123,96,153
180,27,158,126
181,178,141,93
182,127,106,96
183,210,222,56
184,180,8,112
185,185,51,43
186,158,221,68
187,233,254,11
188,242,250,228
189,100,179,229
190,139,187,149
191,225,187,98
192,40,37,110
193,71,248,58
194,6,117,14
195,83,236,250
196,132,203,200
197,178,50,165
198,102,225,167
199,42,84,137
200,31,61,134
201,217,123,104
202,172,78,96
203,236,83,85
204,47,37,86
205,6,20,62
206,212,209,64
207,69,154,41
208,67,78,42
209,244,231,42
210,165,163,22
211,197,77,30
212,85,93,18
213,1,17,16
214,204,235,20
215,224,208,12
216,194,196,12
217,70,141,6
218,31,125,0
219,31,126,1
220,241,117,0
221,15,95,0
222,185,62,1
223,210,58,2
224,51,67,2
225,177,32,0
226,226,30,0
227,155,12,0
228,55,9,0
229,174,12,0
230,102,5,0
231,127,7,0
232,39,4,0
233,141,2,0
234,115,0,0
235,254,1,0
236,243,1,0
237,33,0,0
238,117,0,0
239,192,0,0
240,44,0,0
241,140,0,0
242,150,0,0
243,35,1,0
244,41,1,0
245,218,1,0
246,181,0,0
247,44,0,0
248,215,0,0
249,86,1,0
250,56,0,0
251,25,0,0
252,234,0,0
253,183,0,0
254,104,0,0
255,113,0,0
